
影视资源交流群：https://t.me/mejo168

WEB港湾(影视专用),#genre#
八大精彩台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-8-0.html
八大戲劇台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-9-0.html
CNN,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-11-0.html
八大綜藝台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-12-0.html
寰宇財經台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-81-0.html  
華藝MBC綜合台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-82-0.html  
台视新聞台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-83-0.html  
寰宇新聞台灣台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-84-0.html  
CINEMAX,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-22-0.html
cnex,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-23-0.html
CRIME INVESTI GATION,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-24-0.html
大愛,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-25-0.html
东森综合,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-26-0.html
Da Vinci,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-27-0.html
Discovery SCI,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-33-0.html
八大第一,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-35-0.html
東森超視,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-36-0.html
東森電影,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-38-0.html
年代新聞,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-43-0.html
東森YOYOTV,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-44-0.html
東森洋片,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-45-0.html
八大綜合,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-47-0.html
動物星球,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-48-0.html
ELTA體育4台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-53-0.html
非凡商業,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-60-0.html  
非凡新聞,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-61-0.html  
古典音樂台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-62-0.html  
影剧,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-63-0.html  
國會頻道1,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-64-0.html  
國會頻道2,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-65-0.html  
GOOD TV,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-66-0.html  
GOOD2,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-67-0.html  
TVBS精彩,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-68-0.html  
公視戲劇,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-70-0.html  
Hakka TV,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-72-0.html  
BBC,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-73-0.html  
韓國娛樂台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-77-0.html  
Hollywood,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-78-0.html  
TVBS 欢乐,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-79-0.html  
JET綜合,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-85-0.html  
靖天電影台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-86-0.html  
靖天國際台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-87-0.html  
靖天歡樂台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-88-0.html  
靖天卡通台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-89-0.html  
靖天日本台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-90-0.html  
靖天戲劇台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-91-0.html  
靖天映畫,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-92-0.html  
靖天育樂台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-93-0.html  
靖天綜合台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-94-0.html  
靖天資訊台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-95-0.html  
民视第一,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-96-0.html  
靖洋戲劇台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-98-0.html  
卡通頻道,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-99-0.html  
龍華經典,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-101-0.html  
龍華卡通,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-102-0.html  
龍華偶像,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-103-0.html  
龍華日韓,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-104-0.html  
lifetime,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-107-0.html  
龍祥時代,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-108-0.html  
MIAO MI,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-110-0.html  
華視,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-111-0.html  
旅游,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-112-0.html  
美食星球,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-115-0.html  
影剧,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-116-0.html  
民視,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-117-0.html  
中视,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-118-0.html  
MTV,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-120-0.html  
MTV Live,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-121-0.html  
美亞電影台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-122-0.html  
年代MUCH,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-123-0.html  
寰宇新闻台湾台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-124-0.html  
纬来体育,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-125-0.html  
中天亚洲,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-129-0.html  
三立戲劇台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-130-0.html  
非凡新聞,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-131-0.html  
中天綜合台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-132-0.html  
SMART,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-133-0.html  
時尚運動X,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-134-0.html  
TAIWAN+,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-135-0.html  
TLC,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-136-0.html  
TRACE SPORTS STARS,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-137-0.html  
TRACE URBAN,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-138-0.html  
公視,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-139-0.html  
台視財經,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-140-0.html  
台視綜合,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-142-0.html  
三立综合,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-143-0.html  
TVBS ASIA,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-144-0.html   
镜新聞台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-148-0.html  
台灣戲劇台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-149-0.html  
天映頻道,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-150-0.html  
緯來電影,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-151-0.html  
緯來日本,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-152-0.html  
緯來體育,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-153-0.html  
信吉,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-157-0.html  
智林體育台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-163-0.html  
TVBS,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-164-0.html  
中視BRAVO菁采,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-165-0.html  
中視經典,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-166-0.html  
TVBS新聞,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-167-0.html  
中天娛樂,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-170-0.html  
纬来娱乐,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-171-0.html  
纬来日本,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-172-0.html  

央视直播台,#genre#
CCTV1,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV1
CCTV1,http://8.138.7.223/tv/ptbtv.php?id=27
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV1,http://111.29.9.35:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV1,http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226559/index.m3u8
CCTV2,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV2
CCTV2,http://111.29.9.34:6610/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV2,http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV3
CCTV3,http://111.29.9.38:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV3,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/1.m3u8
CCTV4,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV4
CCTV4,http://111.29.9.40:6610/000000001000/5000000005000030093/index.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=3
CCTV5,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV5
CCTV5,http://39.135.135.28:80/TVOD/88888888/224/3221225818/main.m3u8
CCTV5+,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV5p
CCTV5+,http://39.170.52.236:808/hls/18/index.m3u8
CCTV6,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV6
CCTV6,http://39.170.52.236:808/hls/6/index.m3u8
CCTV6,http://39.135.133.154:80/TVOD/88888888/224/3221225814/main.m3u8
CCYV7,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV7
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV7,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV7,http://111.29.9.40:6610/000000001000/1000000001000017218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=3
CCTV8,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV9,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV9
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://111.43.126.240:9003/hls/22/index.m3u8
CCTV9,http://111.29.9.33:6610/000000001000/1000000001000028286/index.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1&stbId=3
CCTV10,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV10
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://111.29.9.38:6610/000000001000/1000000001000023734/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV11,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV11
CCTV11,http://111.43.126.240:9003/hls/24/index.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://111.29.9.37:6610/000000001000/1000000002000019789/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
CCTV12,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV12
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://111.29.9.39:6610/000000001000/1000000001000032494/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3
CCTV12,http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV13,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV13
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://111.43.126.240:9003/hls/26/index.m3u8
CCTV13,http://8.138.7.223/tv/ptbtv.php?id=28
CCTV13,http://111.29.9.35:6610/000000001000/1000000002000021303/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=3
CCTV13,http://39.135.133.177:80/TVOD/88888888/224/3221226077/main.m3u8
CCYV14,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV14
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://111.43.126.240:9003/hls/27/index.m3u8
CCTV14,http://111.29.9.36:6610/000000001000/5000000004000006673/index.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=3
CCTV15,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV15
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://111.29.9.36:6610/000000001000/1000000002000008163/index.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=3
CCTV15,http://111.43.126.240:9003/hls/28/index.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226100/index.m3u8
CCTV16,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV17,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=CCTV17
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://111.43.126.240:9003/hls/30/index.m3u8
CGTN,http://sport.pendy.dpdns.org/migu/609017205?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CGTN记录,http://sport.pendy.dpdns.org/migu/609006487?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CGTN记录,https://0472.org/hls/cgtnd.m3u8?3.24.120:5140
CGTN阿拉伯语,http://sport.pendy.dpdns.org/migu/609154345?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CGTN阿拉伯语,https://0472.org/hls/cgtna.m3u8?3.24.160:5140
CGTN西班牙语,http://sport.pendy.dpdns.org/migu/609006450?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CGTN西班牙语,http://zqh2333.top:2222/rtp/239.93.55.49:5140
CGTN法语,http://sport.pendy.dpdns.org/migu/609006476?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CGTN法语,http://zqh2333.top:2222/rtp/239.93.55.50:5140
CGTN俄语,http://sport.pendy.dpdns.org/migu/609006446?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CGTN俄语,https://0472.org/hls/cgtne.m3u8?3.24.170:5140
NNTV蒙语,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
中央老故事,http://sport.pendy.dpdns.org/migu/884121956?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
中央发现之旅,http://sport.pendy.dpdns.org/migu/624878970?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
中央中学生,http://sport.pendy.dpdns.org/migu/708869532?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CETV1,http://zqh2333.top:2222/rtp/239.93.25.111:5140
CETV2,http://zqh2333.top:2222/rtp/239.93.24.113:5140


卫视直播台,#genre#
山东卫视,http://39.134.65.141/PLTV/88888888/224/3221225952/1.m3u8
山东卫视,http://111.29.9.37:6610/000000001000/1000000001000012807/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=3
山东卫视,http://113.195.8.194:9901/tsfile/live/0131_2.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
浙江卫视,http://112.46.105.20:8009/hls/34/index.m3u8
浙江卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=浙江卫视
浙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225514/1.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
江苏卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=江苏卫视
江苏卫视,http://39.134.65.173/PLTV/88888888/224/3221225503/1.m3u8
江苏卫视,http://111.29.9.42:6610/000000001000/5000000004000019351/index.m3u8?channel-id=bestzb&Contentid=5000000004000019351&livemode=1&stbId=3
江苏卫视,http://sport.pendy.dpdns.org/migu/623899368?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
东方卫视,http://112.46.105.20:8009/hls/31/index.m3u8
东方卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=东方卫视
东方卫视,http://39.134.65.173/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://111.29.9.38:6610/000000001000/5000000010000032246/index.m3u8?channel-id=bestzb&Contentid=5000000010000032246&livemode=1&stbId=3
东方卫视,http://183.215.134.239:19901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://39.134.65.173/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://111.29.9.42:6610/000000001000/1000000001000017156/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=3
北京卫视,http://183.215.134.239:19901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://39.134.65.173/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://39.134.65.4/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
吉林卫视,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226397/index.m3u8
吉林卫视,http://sport.pendy.dpdns.org/migu/947472500?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
贵州卫视,http://223.241.247.214:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://222.134.245.16:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://111.29.9.44:6610/000000001000/5000000004000025843/index.m3u8?channel-id=bestzb&Contentid=5000000004000025843&livemode=1&stbId=3
贵州卫视,http://goo.bkpcp.top/mg/gzws
安徽卫视,http://39.134.65.141/PLTV/88888888/224/3221225925/1.m3u8
安徽卫视,http://111.29.9.34:6610/000000001000/1000000001000020780/index.m3u8?channel-id=ystenlive&Contentid=1000000001000020780&livemode=1&stbId=3
安徽卫视,http://180.213.174.225:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221226060/1.m3u8
黑龙江卫视,http://39.135.133.173/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://183.131.246.250:9901/tsfile/live/0143_1.m3u8
